FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,carbon_mean,carbon_median,carbon_min,carbon_max,carbon_suggested_value,water_mean,water_median,water_min,water_max,water_suggested_value
FISHING,FISH,,ALFONSINO,3.49,3.49,3.49,3.49,TYPOLOGY,,,,,
CROPS,NUTS,,ALMOND,1.9,1.88,0.51,3.71,ITEM,8047,8047,8047,8047,
AGRICULTURAL PROCESSED,NUTS COVERED WITH CHOCOLATE,,ALMOND COVERED WITH CHOCOLATE,4.8,4.8,4.8,4.8,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,VEGETAL MILK,,ALMOND MILK,0.42,0.42,0.39,0.44,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,NUTS PASTE,,ALMOND PASTE,2.98,2.98,2.89,3.07,TYPOLOGY,,,,,
FISHING,FISH,,ANCHOVY,0.81,0.82,0.77,0.86,ITEM,,,,,
FISHING,FISH,,ANGLERFISH,12.29,12.29,10.43,14.15,TYPOLOGY,,,,,
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",APPLE,0.31,0.25,0.06,0.95,ITEM,680,622,398,1078,ok item
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),,APPLE JUICE (I),2.84,2.84,2.84,2.84,TYPOLOGY,1141,1141,1140,1141,
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",APRICOT,0.36,0.3,0.23,0.56,ITEM,1287,1287,1287,1287,ok item
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUBTYP)",ARTICHOKE,0.33,0.33,0.33,0.33,TYPOLOGY,818,818,818,818,ok item
ANIMAL HUSBANDRY,CHEESE HARD & SEMIHARD,,ASIAGO,10.24,10.24,10.24,10.24,TYPOLOGY,,,,,
CROPS,VEGETABLES OPENFIELD,ASPARAGUS* (SUBTYP),ASPARAGUS,0.97,0.83,0.38,2.68,ITEM,2150,2150,2150,2150,
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",AVOCADO,0.54,0.54,0.25,0.84,ITEM,1901,1805,656,3680,ok item
AGRICULTURAL PROCESSED,LEGUME FLOUR,,AZUKI BEAN FLOUR,1.32,1.32,1.32,1.32,TYPOLOGY,,,,,
ANIMAL HUSBANDRY,PORK CURED MEAT,,BACON,4.03,4.03,3,5.05,TYPOLOGY,6116,6116,6116,6116,ok item
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",BANANA,0.38,0.34,0.15,0.78,ITEM,469,500,117,790,typology
CROPS,GRAINS,,BARLEY,0.53,0.48,0.11,1.11,ITEM,1423,1423,1423,1423,ok item
FISHING,SHELLFISH,,BARNACLE,4.32,2.3,0.78,11.68,ITEM,,,,,
CROPS,LEGUMES,,BEAN,0.67,0.43,0.22,1.55,ITEM,5053,5053,5053,5053,ok item
AGRICULTURAL PROCESSED,LEGUMES FROZEN,,BEANS (F),1.77,1.77,1.77,1.77,TYPOLOGY,801,801,801,801,ok item
ANIMAL HUSBANDRY,BEEF BONE FREE MEAT*,,BEEF BONE FREE MEAT*,27.72,25.75,2.27,109.35,ITEM,16252,15139,3856,26465,item matching typology
AGRICULTURAL PROCESSED,BEER,,BEER IN CAN,0.69,0.69,0.51,0.9,ITEM,166,155,45,298,
AGRICULTURAL PROCESSED,SUGAR,,BEET SUGAR,0.89,0.94,0.26,1.31,ITEM,871,865,829,920,ok item
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUBTYP),BEETROOT,0.25,0.25,0.11,0.38,TYPOLOGY,,,,,
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUBTYP),BLACKBERRY,0.42,0.42,0.42,0.42,TYPOLOGY,413,413,413,413,ok item
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUBTYP),BLUEBERRY,0.64,0.78,0.19,0.97,ITEM,845,845,845,845,ok item
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),,BLUEBERRY JUICE (I),3,3,3,3,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,BREAD FROZEN* (rolls frozen),,BREAD FROZEN (F)*,1.31,1.31,1.31,1.31,ITEM matching with TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,BREAD,,BREAD MULTICEREAL**,0.7,0.7,0.54,0.86,TYPOLOGY,771,771,559,983,typology
AGRICULTURAL PROCESSED,BREAD,,BREAD PLAIN**,0.97,0.89,0.61,1.54,ITEM,995,1031,601,1387,ok item
AGRICULTURAL PROCESSED,BREAD,,BREAD WHOLE**,0.78,0.77,0.55,0.91,ITEM,851,887,544,1140,ok item
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUBTYP)",BROCCOLI,0.67,0.57,0.22,1.87,ITEM,327,325,288,369,typology
